feature,model_count,avg_rank,worst_rank,avg_relative_mean_abs_shap,max_relative_mean_abs_shap,feature_type,train_target_spearman,target_correlation_direction,abs_train_target_spearman,pruning_candidate
pair_POBK_SITH,1,168.0,168,0.0,0.0,numeric,0.03414841985053296,mixed_or_flat,0.03414841985053296,False
pair_POBK_TECH,1,167.0,167,0.0,0.0,numeric,0.04194321619477763,mixed_or_flat,0.04194321619477763,False
pair_POBK_WOOK,1,164.0,164,0.0,0.0,numeric,0.041947637258826595,mixed_or_flat,0.041947637258826595,False
pair_REBL_WOOK,1,171.0,171,0.0,0.0,numeric,-0.009174944356184815,mixed_or_flat,0.009174944356184815,False
pair_SITH_TECH,1,172.0,172,0.0,0.0,numeric,0.03852878606322619,mixed_or_flat,0.03852878606322619,False
pair_TECH_WOOK,1,166.0,166,0.0,0.0,numeric,0.022700890138467565,mixed_or_flat,0.022700890138467565,False
underlying_MNDO,1,137.0,137,0.0,0.0,numeric,0.012458791781186418,mixed_or_flat,0.012458791781186418,False
pair_DRC_WOOK,1,133.0,133,7.77906423813138e-06,7.77906423813138e-06,numeric,0.03469851973656231,mixed_or_flat,0.03469851973656231,False
pair_JEDI_NABO,1,132.0,132,8.230139820759526e-06,8.230139820759526e-06,numeric,0.02157103010589927,mixed_or_flat,0.02157103010589927,False
pair_HTTX_WOOK,1,131.0,131,9.310869335417921e-06,9.310869335417921e-06,numeric,0.10135646663488358,positive,0.10135646663488358,False
pair_MNDO_POBK,1,130.0,130,1.0185514521490929e-05,1.0185514521490929e-05,numeric,0.03190485459003718,mixed_or_flat,0.03190485459003718,False
pair_CORL_SITH,1,129.0,129,1.3264832986283434e-05,1.3264832986283434e-05,numeric,0.03325389834222027,mixed_or_flat,0.03325389834222027,False
pair_CORL_POBK,1,128.0,128,1.4397267980734086e-05,1.4397267980734086e-05,numeric,0.06194179354117199,positive,0.06194179354117199,False
pair_CLNE_CORL,1,127.0,127,1.477911346023373e-05,1.477911346023373e-05,numeric,0.05259361469189323,positive,0.05259361469189323,False
pair_BSKR_CLNE,1,126.0,126,1.6227856781953025e-05,1.6227856781953025e-05,numeric,0.039454636843594376,mixed_or_flat,0.039454636843594376,False
pair_BSKR_REBL,1,125.0,125,1.6904551045379804e-05,1.6904551045379804e-05,numeric,-0.024613694160280697,mixed_or_flat,0.024613694160280697,False
pair_DRC_HTTX,1,124.0,124,1.8828040919272748e-05,1.8828040919272748e-05,numeric,0.08999825248675317,positive,0.08999825248675317,False
pair_NABO_POBK,1,123.0,123,2.0561848129804036e-05,2.0561848129804036e-05,numeric,0.03658410749856371,mixed_or_flat,0.03658410749856371,False
pair_KYBR_REBL,1,122.0,122,2.226063456153094e-05,2.226063456153094e-05,numeric,-0.044506489728162964,mixed_or_flat,0.044506489728162964,False
pair_JEDI_KYBR,1,121.0,121,2.268794084997889e-05,2.268794084997889e-05,numeric,0.027496164294635358,mixed_or_flat,0.027496164294635358,False
pair_CLNE_SITH,1,120.0,120,2.687226214157973e-05,2.687226214157973e-05,numeric,0.0129629400344362,mixed_or_flat,0.0129629400344362,False
pair_POBK_REBL,1,119.0,119,2.90568492137367e-05,2.90568492137367e-05,numeric,-0.009028023291114087,mixed_or_flat,0.009028023291114087,False
pair_SITH_WOOK,1,118.0,118,2.97031014321234e-05,2.97031014321234e-05,numeric,0.022342674098515536,mixed_or_flat,0.022342674098515536,False
pair_BSKR_NABO,1,117.0,117,3.0119146319072053e-05,3.0119146319072053e-05,numeric,0.025278166249824038,mixed_or_flat,0.025278166249824038,False
pair_JEDI_WOOK,1,116.0,116,3.195776751390388e-05,3.195776751390388e-05,numeric,0.015334717099532741,mixed_or_flat,0.015334717099532741,False
underlying_KYBR,1,115.0,115,3.431204836222617e-05,3.431204836222617e-05,numeric,0.050031580993623974,positive,0.050031580993623974,False
underlying_DRC,1,114.0,114,3.8542753715965486e-05,3.8542753715965486e-05,numeric,0.023680401073235612,mixed_or_flat,0.023680401073235612,False
pair_CORL_TECH,1,113.0,113,3.9025826513721945e-05,3.9025826513721945e-05,numeric,0.0411549770465998,mixed_or_flat,0.0411549770465998,False
pair_BSKR_TECH,1,112.0,112,4.314168364036167e-05,4.314168364036167e-05,numeric,0.030621244679855525,mixed_or_flat,0.030621244679855525,False
pair_HTTX_JEDI,1,111.0,111,4.5520707126882966e-05,4.5520707126882966e-05,numeric,0.09811126975977293,positive,0.09811126975977293,False
